gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
2612159472	http://fieldmuseum.org/about/copyright-information			https://creativecommons.org/publicdomain/zero/1.0/	2023-03-01T14:35-0600			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PreservedSpecimen				f2a208f1-d4c6-442e-9e3a-73ff1b7afc73	V0533979F	671	C. H. Mueller & M. T. Müller																									4158317														1934-06-01		152		1934	6	1									a290b34b-d9f8-466d-8259-311ca015ecfb		North America, Mexico, Nuevo León. [LL]	North America				Mexico		Nuevo León			Nuevo León													25.6667	-100															TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Spermatophyta	Dicotyledoneae			Apocynaceae				Apocynum				cannabinum							ICBN			
2612149655	http://fieldmuseum.org/about/copyright-information			https://creativecommons.org/publicdomain/zero/1.0/	2023-03-01T07:52-0600			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PreservedSpecimen				2a8c0205-2653-404b-9a61-a94dd4dc9990	V0533978F	1897	E. G. Marsh																									4158316														1939-08-03		215		1939	8	3									5793403a-df3f-41bc-8a44-2316a8d7ff63		North America, Mexico, Coahuila. [LL]	North America				Mexico		Coahuila			Coahuila													27.3333	-102															TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum androsaemifolium L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Spermatophyta	Dicotyledoneae			Apocynaceae				Apocynum				androsaemifolium							ICBN			
2612148258	http://fieldmuseum.org/about/copyright-information			https://creativecommons.org/publicdomain/zero/1.0/	2023-03-01T13:13-0600			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PreservedSpecimen				69c7bce8-e23d-41c9-9e63-619ba01ff93f	V0533980F	847	H. LeSueur																									4158318														1936-06-29		181		1936	6	29									2b661270-f712-4d23-823f-f79e4db55cb4		North America, Mexico, Chihuahua. [LL]	North America				Mexico		Chihuahua			Chihuahua													28.5	-106															TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Spermatophyta	Dicotyledoneae			Apocynaceae				Apocynum				cannabinum							ICBN			
2612145793	http://fieldmuseum.org/about/copyright-information			https://creativecommons.org/publicdomain/zero/1.0/	2023-03-01T07:52-0600			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PreservedSpecimen				37a2ed15-d4ca-4a84-91ef-b54d19463604	V0533977F	640	E. G. Marsh																									4158315														1936-07-09		191		1936	7	9									5793403a-df3f-41bc-8a44-2316a8d7ff63		North America, Mexico, Coahuila. [LL]	North America				Mexico		Coahuila			Coahuila													27.3333	-102															TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum androsaemifolium L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Spermatophyta	Dicotyledoneae			Apocynaceae				Apocynum				androsaemifolium							ICBN			
2612133430	http://fieldmuseum.org/about/copyright-information			https://creativecommons.org/publicdomain/zero/1.0/	2023-03-01T14:35-0600			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PreservedSpecimen				7a6d1a21-0f55-4ab6-bb53-2860246c7cda	V0533981F	202	C. H. Mueller & M. T. Müller																									4158321														1933-07		212		1933	7										a290b34b-d9f8-466d-8259-311ca015ecfb		North America, Mexico, Nuevo León. [LL]	North America				Mexico		Nuevo León			Nuevo León													25.6667	-100															TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Spermatophyta	Dicotyledoneae			Apocynaceae				Apocynum				cannabinum							ICBN			
2612130148	http://fieldmuseum.org/about/copyright-information			https://creativecommons.org/publicdomain/zero/1.0/	2023-03-01T09:01-0600			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PreservedSpecimen				c8389cf1-b2df-47ea-a95c-4fc5c882d6be	V0533997F	680	M. Sessé & et al.																									4158324														1787				1787											1407b537-494f-4df8-becb-09a91b36194d		North America, Mexico. [LL]	North America				Mexico					Mexico													23	-102															TGN - Country Centroid	Getty Thesaurus of Geographic Names (TGN)	Generalised COUNTRY centroid																																					Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Spermatophyta	Dicotyledoneae			Apocynaceae				Apocynum				cannabinum							ICBN			
2612123443	http://fieldmuseum.org/about/copyright-information			https://creativecommons.org/publicdomain/zero/1.0/	2023-03-02T12:05-0600			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PreservedSpecimen				11853314-ee3e-4ee8-9bed-7964211e81c8	V0533982F	681	M. Sessé & J. M. Mociño																									4158323														1787				1787											1407b537-494f-4df8-becb-09a91b36194d		North America, Mexico. [LL]	North America				Mexico					Mexico													23	-102															TGN - Country Centroid	Getty Thesaurus of Geographic Names (TGN)	Generalised COUNTRY centroid																																					Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Spermatophyta	Dicotyledoneae			Apocynaceae				Apocynum				cannabinum							ICBN			
2612102350	http://fieldmuseum.org/about/copyright-information			https://creativecommons.org/publicdomain/zero/1.0/	2023-03-01T07:52-0600			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PreservedSpecimen				0503bcd1-bda8-4807-8006-e8cb77d1683d	V0533976F	33	C. H. T. Townsend & C. M. Barber																									4158314														1899-06-12		163		1899	6	12									2b661270-f712-4d23-823f-f79e4db55cb4		North America, Mexico, Chihuahua. [LL]	North America				Mexico		Chihuahua			Chihuahua													28.5	-106															TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum androsaemifolium L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Spermatophyta	Dicotyledoneae			Apocynaceae				Apocynum				androsaemifolium							ICBN			
2235565551	http://fieldmuseum.org/about/copyright-information			https://creativecommons.org/publicdomain/zero/1.0/	2023-03-01T13:27-0600			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PreservedSpecimen				28364b71-f2b2-4037-bbcd-31e9b35addc9	V0490684F	16628	D. Seigler																									3995741														2017-10-23		296		2017	10	23											North America, USA, Illinois, Alexander, 2 mi. N of intersection of I-57 and Illinois 3. [LL]	North America				United States of America		Illinois	Alexander		2 mi. N of intersection of I-57 and Illinois 3													37.067797	-89.205445		301														GEOlocate																																						Apocynum androsaemifolium L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Spermatophyta	Dicotyledoneae			Apocynaceae				Apocynum				androsaemifolium							ICBN			
1944823880	http://fieldmuseum.org/about/copyright-information			https://creativecommons.org/publicdomain/zero/1.0/	2023-03-01T13:17-0600			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PreservedSpecimen				3a9dcea6-5363-4955-8cdc-5f15167b9cd0	V0462157F	4330	J. Murdoch, Jr.																									3859708														1910-08-26		238		1910	8	26									7e28c454-fea4-46ea-962b-510ac6e1c895		North America, USA, South Dakota, Lawrence, 4500ft: Black Hills National Forest, near smelter. [LL]	North America				United States of America		South Dakota	Lawrence		Black Hills National Forest, near smelter													44.387328	-103.711911		853														GEOlocate																																						Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Spermatophyta	Dicotyledoneae			Apocynaceae				Apocynum				cannabinum							ICBN			
