gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
2612159472	http://fieldmuseum.org/about/copyright-information			CC0_1_0	2023-03-01T20:35:00Z			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PRESERVED_SPECIMEN				f2a208f1-d4c6-442e-9e3a-73ff1b7afc73	V0533979F	671	C. H. Mueller & M. T. Müller															PRESENT									4158317														1934-06-01		152	152	1934	6	1									a290b34b-d9f8-466d-8259-311ca015ecfb		North America, Mexico, Nuevo León. [LL]	NORTH_AMERICA				MX	Nuevo León			Nuevo León									25.6667	-100.0											TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Apocynum	Apocynum			cannabinum			SPECIES			ICBN	ACCEPTED			90c853e6-56bd-480b-8e8f-6285c3f8d42b	US	2025-02-06T21:26:11.464Z						GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY	StillImage	true	false	3169790	3169790	6	7707728	220	412	6701	3169789		3169790	Apocynum cannabinum	Apocynum cannabinum L.	Apocynum cannabinum L.		EML	2025-02-06T21:26:11.464Z	2025-01-18T01:55:32.317Z	true			false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.19_1	Nuevo León	MEX.19.8_2	Cadereyta Jiménez			NE
2612149655	http://fieldmuseum.org/about/copyright-information			CC0_1_0	2023-03-01T13:52:00Z			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PRESERVED_SPECIMEN				2a8c0205-2653-404b-9a61-a94dd4dc9990	V0533978F	1897	E. G. Marsh															PRESENT									4158316														1939-08-03		215	215	1939	8	3									5793403a-df3f-41bc-8a44-2316a8d7ff63		North America, Mexico, Coahuila. [LL]	NORTH_AMERICA				MX	Coahuila			Coahuila									27.3333	-102.0											TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum androsaemifolium L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Apocynum	Apocynum			androsaemifolium			SPECIES			ICBN	ACCEPTED			90c853e6-56bd-480b-8e8f-6285c3f8d42b	US	2025-02-06T21:25:22.423Z						GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum androsaemifolium L.	Apocynum androsaemifolium L.		EML	2025-02-06T21:25:22.423Z	2025-01-18T01:55:32.317Z	true			false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.7_1	Coahuila	MEX.7.23_2	Ocampo			NE
2612148258	http://fieldmuseum.org/about/copyright-information			CC0_1_0	2023-03-01T19:13:00Z			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PRESERVED_SPECIMEN				69c7bce8-e23d-41c9-9e63-619ba01ff93f	V0533980F	847	H. LeSueur															PRESENT									4158318														1936-06-29		181	181	1936	6	29									2b661270-f712-4d23-823f-f79e4db55cb4		North America, Mexico, Chihuahua. [LL]	NORTH_AMERICA				MX	Chihuahua			Chihuahua									28.5	-106.0											TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Apocynum	Apocynum			cannabinum			SPECIES			ICBN	ACCEPTED			90c853e6-56bd-480b-8e8f-6285c3f8d42b	US	2025-02-06T21:25:38.753Z						GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY	StillImage	true	false	3169790	3169790	6	7707728	220	412	6701	3169789		3169790	Apocynum cannabinum	Apocynum cannabinum L.	Apocynum cannabinum L.		EML	2025-02-06T21:25:38.753Z	2025-01-18T01:55:32.317Z	true			false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.6_1	Chihuahua	MEX.6.14_2	Chihuahua			NE
2612145793	http://fieldmuseum.org/about/copyright-information			CC0_1_0	2023-03-01T13:52:00Z			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PRESERVED_SPECIMEN				37a2ed15-d4ca-4a84-91ef-b54d19463604	V0533977F	640	E. G. Marsh															PRESENT									4158315														1936-07-09		191	191	1936	7	9									5793403a-df3f-41bc-8a44-2316a8d7ff63		North America, Mexico, Coahuila. [LL]	NORTH_AMERICA				MX	Coahuila			Coahuila									27.3333	-102.0											TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum androsaemifolium L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Apocynum	Apocynum			androsaemifolium			SPECIES			ICBN	ACCEPTED			90c853e6-56bd-480b-8e8f-6285c3f8d42b	US	2025-02-06T21:25:26.801Z						GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum androsaemifolium L.	Apocynum androsaemifolium L.		EML	2025-02-06T21:25:26.801Z	2025-01-18T01:55:32.317Z	true			false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.7_1	Coahuila	MEX.7.23_2	Ocampo			NE
2612133430	http://fieldmuseum.org/about/copyright-information			CC0_1_0	2023-03-01T20:35:00Z			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PRESERVED_SPECIMEN				7a6d1a21-0f55-4ab6-bb53-2860246c7cda	V0533981F	202	C. H. Mueller & M. T. Müller															PRESENT									4158321														1933-07				1933	7										a290b34b-d9f8-466d-8259-311ca015ecfb		North America, Mexico, Nuevo León. [LL]	NORTH_AMERICA				MX	Nuevo León			Nuevo León									25.6667	-100.0											TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Apocynum	Apocynum			cannabinum			SPECIES			ICBN	ACCEPTED			90c853e6-56bd-480b-8e8f-6285c3f8d42b	US	2025-02-06T21:25:42.291Z						GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY	StillImage	true	false	3169790	3169790	6	7707728	220	412	6701	3169789		3169790	Apocynum cannabinum	Apocynum cannabinum L.	Apocynum cannabinum L.		EML	2025-02-06T21:25:42.291Z	2025-01-18T01:55:32.317Z	true			false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.19_1	Nuevo León	MEX.19.8_2	Cadereyta Jiménez			NE
2612130148	http://fieldmuseum.org/about/copyright-information			CC0_1_0	2023-03-01T15:01:00Z			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PRESERVED_SPECIMEN				c8389cf1-b2df-47ea-a95c-4fc5c882d6be	V0533997F	680	M. Sessé & et al.															PRESENT									4158324														1787				1787											1407b537-494f-4df8-becb-09a91b36194d		North America, Mexico. [LL]	NORTH_AMERICA				MX				Mexico									23.0	-102.0											TGN - Country Centroid	Getty Thesaurus of Geographic Names (TGN)	Generalised COUNTRY centroid																																					Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Apocynum	Apocynum			cannabinum			SPECIES			ICBN	ACCEPTED			90c853e6-56bd-480b-8e8f-6285c3f8d42b	US	2025-02-06T21:26:02.469Z					0.0	GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY	StillImage	true	false	3169790	3169790	6	7707728	220	412	6701	3169789		3169790	Apocynum cannabinum	Apocynum cannabinum L.	Apocynum cannabinum L.		EML	2025-02-06T21:26:02.469Z	2025-01-18T01:55:32.317Z	true			false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.24_1	San Luis Potosí	MEX.24.53_2	Villa de Ramos			NE
2612123443	http://fieldmuseum.org/about/copyright-information			CC0_1_0	2023-03-02T18:05:00Z			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PRESERVED_SPECIMEN				11853314-ee3e-4ee8-9bed-7964211e81c8	V0533982F	681	M. Sessé & J. M. Mociño															PRESENT									4158323														1787				1787											1407b537-494f-4df8-becb-09a91b36194d		North America, Mexico. [LL]	NORTH_AMERICA				MX				Mexico									23.0	-102.0											TGN - Country Centroid	Getty Thesaurus of Geographic Names (TGN)	Generalised COUNTRY centroid																																					Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Apocynum	Apocynum			cannabinum			SPECIES			ICBN	ACCEPTED			90c853e6-56bd-480b-8e8f-6285c3f8d42b	US	2025-02-06T21:25:13.809Z					0.0	GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY	StillImage	true	false	3169790	3169790	6	7707728	220	412	6701	3169789		3169790	Apocynum cannabinum	Apocynum cannabinum L.	Apocynum cannabinum L.		EML	2025-02-06T21:25:13.809Z	2025-01-18T01:55:32.317Z	true			false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.24_1	San Luis Potosí	MEX.24.53_2	Villa de Ramos			NE
2612102350	http://fieldmuseum.org/about/copyright-information			CC0_1_0	2023-03-01T13:52:00Z			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PRESERVED_SPECIMEN				0503bcd1-bda8-4807-8006-e8cb77d1683d	V0533976F	33	C. H. T. Townsend & C. M. Barber															PRESENT									4158314														1899-06-12		163	163	1899	6	12									2b661270-f712-4d23-823f-f79e4db55cb4		North America, Mexico, Chihuahua. [LL]	NORTH_AMERICA				MX	Chihuahua			Chihuahua									28.5	-106.0											TGN - Centroid	Getty Thesaurus of Geographic Names (TGN)																																						Apocynum androsaemifolium L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Apocynum	Apocynum			androsaemifolium			SPECIES			ICBN	ACCEPTED			90c853e6-56bd-480b-8e8f-6285c3f8d42b	US	2025-02-06T21:25:07.757Z						GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum androsaemifolium L.	Apocynum androsaemifolium L.		EML	2025-02-06T21:25:07.757Z	2025-01-18T01:55:32.317Z	true			false	LATIN_AMERICA	NORTH_AMERICA	MEX	México	MEX.6_1	Chihuahua	MEX.6.14_2	Chihuahua			NE
2235565551	http://fieldmuseum.org/about/copyright-information			CC0_1_0	2023-03-01T19:27:00Z			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PRESERVED_SPECIMEN				28364b71-f2b2-4037-bbcd-31e9b35addc9	V0490684F	16628	D. Seigler															PRESENT									3995741														2017-10-23		296	296	2017	10	23											North America, USA, Illinois, Alexander, 2 mi. N of intersection of I-57 and Illinois 3. [LL]	NORTH_AMERICA				US	Illinois	Alexander		2 mi. N of intersection of I-57 and Illinois 3									37.067797	-89.205445	301.0											GEOlocate																																						Apocynum androsaemifolium L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Apocynum	Apocynum			androsaemifolium			SPECIES			ICBN	ACCEPTED			90c853e6-56bd-480b-8e8f-6285c3f8d42b	US	2025-02-06T21:25:22.296Z						GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY	StillImage	true	false	3169816	3169816	6	7707728	220	412	6701	3169789		3169816	Apocynum androsaemifolium	Apocynum androsaemifolium L.	Apocynum androsaemifolium L.		EML	2025-02-06T21:25:22.296Z	2025-01-18T01:55:32.317Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.14_1	Illinois	USA.14.2_1	Alexander			NE
1944823880	http://fieldmuseum.org/about/copyright-information			CC0_1_0	2023-03-01T19:17:00Z			The Field Museum of Natural History		F	Botany		F	Botany	seeds-22-sep-2023	F	PRESERVED_SPECIMEN				3a9dcea6-5363-4955-8cdc-5f15167b9cd0	V0462157F	4330	J. Murdoch, Jr.															PRESENT									3859708														1910-08-26		238	238	1910	8	26									7e28c454-fea4-46ea-962b-510ac6e1c895		North America, USA, South Dakota, Lawrence, 4500ft: Black Hills National Forest, near smelter. [LL]	NORTH_AMERICA				US	South Dakota	Lawrence		Black Hills National Forest, near smelter									44.387328	-103.711911	853.0											GEOlocate																																						Apocynum cannabinum L.							Plantae Spermatophyta Dicotyledoneae Apocynaceae	Plantae	Tracheophyta	Magnoliopsida	Gentianales		Apocynaceae				Apocynum	Apocynum			cannabinum			SPECIES			ICBN	ACCEPTED			90c853e6-56bd-480b-8e8f-6285c3f8d42b	US	2025-02-06T21:25:27.592Z						GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY	StillImage	true	false	3169790	3169790	6	7707728	220	412	6701	3169789		3169790	Apocynum cannabinum	Apocynum cannabinum L.	Apocynum cannabinum L.		EML	2025-02-06T21:25:27.592Z	2025-01-18T01:55:32.317Z	false			false	NORTH_AMERICA	NORTH_AMERICA	USA	United States	USA.42_1	South Dakota	USA.42.40_1	Lawrence			NE
