gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2612159472	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/2243/650/V0533979F.jpg		V0533979F	Apocynum cannabinum L., Mexico, C. H. Müller 671, F			2021-06-02T00:00:00Z	D. M. Le : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
2612149655	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/2243/649/V0533978F.jpg		V0533978F	Apocynum androsaemifolium L., Mexico, E. G. Marsh 1897, F			2021-06-02T00:00:00Z	D. M. Le : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
2612148258	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/2243/651/V0533980F.jpg		V0533980F	Apocynum cannabinum L., Mexico, D. H. LeSueur 847, F			2021-06-02T00:00:00Z	D. M. Le : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
2612145793	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/2243/648/V0533977F.jpg		V0533977F	Apocynum androsaemifolium L., Mexico, E. G. Marsh 640, F			2021-06-02T00:00:00Z	D. M. Le : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
2612133430	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/2243/652/V0533981F.jpg		V0533981F	Apocynum cannabinum L., Mexico, C. H. Müller 202, F			2021-06-02T00:00:00Z	D. M. Le : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
2612130148	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/2243/655/V0533997F.jpg		V0533997F	Apocynum cannabinum L., Mexico, M. Sessé 680, F			2021-06-02T00:00:00Z	D. M. Le : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
2612123443	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/2243/653/V0533982F.jpg		V0533982F	Apocynum cannabinum L., Mexico, M. Sessé 681, F			2021-06-02T00:00:00Z	D. M. Le : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
2612102350	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/2243/647/V0533976F.jpg		V0533976F	Apocynum androsaemifolium L., Mexico, C. H. T. Townsend 33, F			2021-06-02T00:00:00Z	D. M. Le : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
2235565551	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/1860/807/V0490684F.jpg		V0490684F	Apocynum androsaemifolium L., U.S.A., D. S. Seigler 16628, F			2019-02-19T00:00:00Z	J. Schmadeke : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
1944823880	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/1739/238/V0462157F.jpg		V0462157F	Apocynum cannabinum L., U.S.A., J. Murdoch, Jr. 4330, F			2018-05-08T00:00:00Z	J. Schmadeke : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
1847945403	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/1739/321/V0462291F.jpg		V0462291F	Apocynum androsaemifolium L., U.S.A., A. A. Heller 12863, F			2018-04-26T00:00:00Z	J. Schmadeke : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
1847945234	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/1738/931/V0461829F.jpg		V0461829F	Apocynum androsaenifolium, Canada, B. Boivin 260, F			2018-04-26T00:00:00Z	J. Schmadeke : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
1847945143	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/1739/017/V0461915F.jpg		V0461915F	Apocynum cannabinum L., U.S.A., F. E. McDonald, F			2018-04-26T00:00:00Z	J. Schmadeke : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
1847945139	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/1738/771/V0461667F.jpg		V0461667F	Apocynum androsaenifolium, U.S.A., E. A. Mearns 466, F			2018-04-05T00:00:00Z	J. Schmadeke : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
1847945090	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/1738/907/V0461805F.jpg		V0461805F	Apocynum androsaenifolium, U.S.A., H. S. Prescott, F			2018-04-11T00:00:00Z	J. Schmadeke : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
1847945023	StillImage	jpeg	http://fm-digital-assets.fieldmuseum.org/1738/849/V0461746F.jpg		V0461746F	Apocynum androsaenifolium, U.S.A., C. C. Epling 7699, F			2018-04-11T00:00:00Z	J. Schmadeke : Field Museum of Natural History - Botany Department		Field Museum of Natural History	(c) Field Museum of Natural History - CC BY-NC 4.0	Field Museum of Natural History
