"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX25715031","Metabarcoding GH","honey metagenome","Illumina NovaSeq 6000","Universiti Teknologi Malaysia","SRP421684","Microorganisms in the Green Honey of Banggi Island, Sabah","SRS19578915","","0.06","1","15","2874","GH-ITS1","AMPLICON","METAGENOMIC","PCR"
"SRX22812402","UCE sequences of Agapostemon splendens","Agapostemon splendens","Illumina HiSeq 2500","Washington State University","SRP476438","Lessons from assembling UCEs: a comparison of common methods and the case of Clavinomia (Halictidae)","SRS19794309","","246.7","1","1908714","576431628","BND462","Targeted-Capture","GENOMIC","Hybrid Selection"
"SRX22570890","GH ITS2","honey metagenome","Illumina NovaSeq 6000","Universiti Teknologi Malaysia","SRP472834","Identification of Fungi/yeast and plant species in green honey Revolved Honey diversity and origin","SRS19578915","","108.97","1","1450299","362574750","GH ITS2","AMPLICON","METAGENOMIC","PCR"
"SRX20640125","UCE sequence data of adult Agapostemon_splendens","Agapostemon splendens","Illumina HiSeq 2500","Washington State University","SRP441834","The Evolutionary History of Bees in Time and Space","SRS17939002","","246.71","1","1908714","576431628","Asplendens","Targeted-Capture","GENOMIC","Hybrid Selection"
"SRX19514486","rna seq of Agapostemon virescens4","bee metagenome","Illumina NovaSeq 6000","Indiana University","SRP424757","RNA sequencing of 6 bee species","SRS16901890","","736.95","1","24020562","2570200134","BMJ3_H11","RNA-Seq","METAGENOMIC","other"
"SRX19514484","rna seq of Agapostemon virescens3","bee metagenome","Illumina NovaSeq 6000","Indiana University","SRP424757","RNA sequencing of 6 bee species","SRS16901891","","743.25","1","24244107","2594119449","BMJ3_F5","RNA-Seq","METAGENOMIC","other"
"SRX19514476","rna seq of Agapostemon virescens2","bee metagenome","Illumina NovaSeq 6000","Indiana University","SRP424757","RNA sequencing of 6 bee species","SRS16901880","","706.71","1","23083551","2469939957","BMJ2_F7","RNA-Seq","METAGENOMIC","other"
"SRX19514475","rna seq of Agapostemon virescens1","bee metagenome","Illumina NovaSeq 6000","Indiana University","SRP424757","RNA sequencing of 6 bee species","SRS16901881","","633.03","1","20591517","2203292319","BMJ2_F6","RNA-Seq","METAGENOMIC","other"
"SRX19477343","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868686","","599.1","1","15550359","1990445952","RBLd_005534","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477342","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868685","","595.3","1","15501056","1984135168","RBL_005534","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477341","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868683","","80.23","1","2002914","256372992","MNB_04436","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477340","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868684","","943.35","1","24616195","3150872960","RBL_005528","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477339","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868682","","297.81","1","7539566","965064448","RBL_005440","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477338","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868681","","98.74","1","2482095","317708160","RBL_004031","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477337","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868679","","69.03","1","1731309","221607552","RBL_004019","RAD-Seq","GENOMIC","Reduced Representation"
"SRX19477336","Agapostemon virescens RAD-seq","Agapostemon virescens","Illumina NovaSeq 6000","York University","SRP424000","The use of pinned specimens helps uncover patterns of genetic differentiation and signatures of selection in a wild pollinator","SRS16868680","","206.58","1","5133104","657037312","RBL_004006","RAD-Seq","GENOMIC","Reduced Representation"
